building;apt_type;apt_index;rooms;area_m2;eenheid_id;bouwnummer;huisnummer
B3;std;3;8;62.6;3004587;1;1400
B3;std;4;8;62.2;3004588;2;1402
B3;std;5;8;62.2;3004589;3;1404
B3;std;6;8;62.2;3004590;4;1406
B3;hoek;0;6;64.9;3004591;5;1408
B3;hoek;1;6;64.9;3004592;6;1410
B3;std;7;8;62.6;3004593;7;1412
B3;std;8;8;62.2;3004594;8;1414
B3;std;9;8;62.2;3004595;9;1416
B3;std;10;8;62.2;3004596;10;1418
B3;std;11;8;62.2;3004597;11;1420
B3;std;12;8;62.2;3004598;12;1422
B3;std;13;8;62.6;3004599;13;1424
B3;hoek;2;6;64.9;3004600;14;1426
B3;hoek;27;6;64.9;3004601;15;1428
B3;std;14;8;62.2;3004602;16;1430
B3;std;15;8;62.2;3004603;17;1432
B3;std;16;8;62.2;3004604;18;1434
B3;std;17;8;62.6;3004605;19;1436
B3;std;18;8;62.2;3004606;20;1438
B3;std;19;8;62.2;3004607;21;1440
B3;std;20;8;62.2;3004608;22;1442
B3;hoek;28;6;64.9;3004609;23;1444
B3;hoek;29;6;64.5;3004610;24;1446
B3;std;21;8;62.2;3004611;25;1448
B3;std;22;8;62.2;3004612;26;1450
B3;std;23;8;62.2;3004613;27;1452
B3;std;24;8;62.2;3004614;28;1454
B3;std;25;8;62.2;3004615;29;1456
B3;std;26;8;62.2;3004616;30;1458
B3;std;32;8;62.2;3004617;31;1460
B3;hoek;30;6;64.9;3004618;32;1462
B3;hoek;31;6;64.9;3004619;33;1464
B2;hoek;2;6;64.9;3004620;34;1466
B2;hoek;3;6;64.9;3004621;35;1468
B2;std;0;8;62.2;3004622;36;1470
B2;std;1;8;62.6;3004623;37;1472
B2;std;4;8;62.2;3004624;38;1474
B2;std;5;8;62.2;3004625;39;1476
B2;hoek;27;6;64.9;3004626;40;1478
B2;hoek;28;6;64.9;3004627;41;1480
B2;std;6;8;62.2;3004628;42;1482
B2;std;7;8;62.6;3004629;43;1484
B2;std;8;8;62.2;3004630;44;1486
B2;std;9;8;62.2;3004631;45;1488
B2;std;10;8;62.2;3004632;46;1490
B2;std;11;8;62.2;3004633;47;1492
B2;std;12;8;62.2;3004634;48;1494
B2;hoek;29;6;64.9;3004635;49;1496
B2;hoek;30;6;64.8;3004636;50;1498
B2;std;13;8;62.6;3004637;51;1500
B2;std;14;8;62.2;3004638;52;1502
B2;std;15;8;62.2;3004639;53;1504
B2;std;16;8;62.2;3004640;54;1506
B2;std;17;8;62.6;3004641;55;1508
B2;std;18;8;62.2;3004642;56;1510
B2;std;19;8;62.2;3004643;57;1512
B2;hoek;31;6;64.9;3004644;58;1514
B2;hoek;32;5;60.7;3004645;59;1516
B2;std;20;8;62.2;3004646;60;1518
B2;std;21;8;62.2;3004647;61;1520
B2;std;22;8;62.2;3004648;62;1522
B2;std;23;8;62.2;3004649;63;1524
B2;std;24;8;62.2;3004650;64;1526
B2;std;25;8;62.2;3004651;65;1528
B2;std;26;8;62.2;3004652;66;1530
